chip,fet_size,GateV_V,DrainI_at_Vd_A,R_at_Vd_ohm,GateI_at_Vd_A
19,nmos3_pattern5,2.0,0.001429790398105979,3497.016070763534,1.882532463248765e-10
19,nmos3_pattern5,3.0,0.0027724108658730984,1803.4844912589754,1.1965982649186913e-09
19,nmos3_pattern5,4.0,0.00445138942450285,1123.2447946426125,5.032228411749884e-09
19,nmos3_pattern5,5.0,0.005755925085395575,868.6700966081764,7.033557292146497e-09
19,nmos3_pattern5,6.0,0.00687711825594306,727.0487163252,9.284694790778758e-09
19,nmos3_pattern6,0.0,9.009985660668463e-06,554939.839896376,-1.5270441577897031e-09
19,nmos3_pattern6,1.0,0.000397878116928041,12566.66247092017,-2.9121166589263225e-10
19,nmos3_pattern6,2.0,0.0013296058168634772,3760.5130306927617,-4.423379718065945e-10
19,nmos3_pattern6,3.0,0.002560485852882266,1952.754394003639,1.1349209350086653e-09
19,nmos3_pattern6,4.0,0.0038493939209729433,1298.9057765063021,2.14355178052017e-09
19,nmos3_pattern6,5.0,0.00495475810021162,1009.1310007215988,4.9037631733028775e-09
19,nmos3_pattern6,6.0,0.005715713370591402,874.7814447320077,5.80252246251689e-09
19,nmos3_pattern7,0.0,1.3951749679108616e-05,358377.98949955445,-4.057317537498051e-10
19,nmos3_pattern7,1.0,0.0004295629041735083,11639.738793600318,-1.9366187820057945e-10
19,nmos3_pattern7,2.0,0.001397911342792213,3576.7647396099605,-7.977151161853158e-10
19,nmos3_pattern7,3.0,0.0025097662582993507,1992.2173961283802,4.4543807531383095e-10
19,nmos3_pattern7,4.0,0.003897091606631875,1283.0080749170102,1.6051013851381413e-09
19,nmos3_pattern7,5.0,0.005433875136077404,920.1536426192876,5.569821048823087e-09
19,nmos3_pattern7,6.0,0.006761279422789812,739.5050089405889,0.00023208558559417725
19,nmos4_pattern1,0.0,5.926348876528209e-06,843689.7834015324,-2.772712059950777e-10
19,nmos4_pattern1,1.0,0.000216303626075387,23115.65502030641,-2.1743160050213817e-10
19,nmos4_pattern1,2.0,0.0009218871709890664,5423.6572081111,7.345591496177306e-11
19,nmos4_pattern1,3.0,0.001941049937158823,2575.9254845955484,1.1678891187472118e-09
19,nmos4_pattern1,4.0,0.002980307210236788,1677.6793958776975,3.491160471824628e-09
19,nmos4_pattern1,5.0,0.003865167498588562,1293.6049994795421,4.925986729631404e-09
19,nmos4_pattern1,6.0,0.004574806895107031,1092.9423065589353,5.42743716636096e-09
19,nmos4_pattern1,7.0,0.004958583507686853,1008.3524845853543,0.0011249262606725097
19,nmos4_pattern1,8.0,0.004966388456523418,1006.7678039627433,0.004805896431207657
19,nmos4_pattern1,9.0,0.004542653448879719,1100.6782833572895,0.006368166767060757
19,nmos4_pattern2,0.0,3.168892362737097e-06,1577838.3825196587,-4.0029032866151226e-10
19,nmos4_pattern2,1.0,0.00019853592675644904,25184.358728854524,-2.665839493598554e-10
19,nmos4_pattern2,2.0,0.0006828929763287306,7321.791515385426,-2.0417757762292155e-10
19,nmos4_pattern2,3.0,0.0013145431876182556,3803.6026865417857,-3.021659311652769e-11
19,nmos4_pattern2,4.0,0.002119911601766944,2358.5889127794317,4.4477871385950607e-10
19,nmos4_pattern2,5.0,0.003068753518164158,1629.3260343017662,1.3395026199347626e-09
19,nmos4_pattern2,6.0,0.0038146476726979017,1310.7370402215313,3.901362788383267e-09
19,nmos4_pattern3,0.0,1.121814057114534e-05,445706.6630864578,-3.417573724018297e-10
19,nmos4_pattern3,1.0,0.0001725259207887575,28981.152380702555,-2.4823906819015917e-10
19,nmos4_pattern3,2.0,0.0006237000925466418,8016.67349380117,-1.5243957485200355e-10
19,nmos4_pattern3,3.0,0.0013372425455600023,3739.0374817203638,3.8807132507479025e-10
19,nmos4_pattern3,4.0,0.002105783438310027,2374.413203673353,2.484747740894022e-09
19,nmos4_pattern3,5.0,0.002879395382478833,1736.4756609755923,9.151457369682703e-09
19,nmos4_pattern3,6.0,0.003549934597685933,1408.4766528541988,6.403575891766877e-09
19,nmos4_pattern5,0.0,2.544418293837225e-06,1965085.6984130247,4.6487258487104555e-10
19,nmos4_pattern5,1.0,0.00021181923511903733,23605.032834672074,-2.1291003682311072e-10
19,nmos4_pattern5,2.0,0.0008310831617563963,6016.245100469957,-2.6657410653885272e-11
19,nmos4_pattern5,3.0,0.0017155761597678065,2914.4727685401745,1.3042646962446725e-09
19,nmos4_pattern5,4.0,0.0027096655685454607,1845.24616544616,4.736993020060254e-09
19,nmos4_pattern5,5.0,0.0035344825591892004,1414.634226161519,6.581775124914202e-09
19,nmos4_pattern5,6.0,0.004167991224676371,1199.6186485225223,8.520606442630196e-09
19,nmos4_pattern6,0.0,9.448424862057436e-06,529188.7349476395,-1.5614693538168467e-08
19,nmos4_pattern6,1.0,0.0002186350175179541,22869.163671777347,-2.9249050403912236e-10
19,nmos4_pattern6,2.0,0.0008217245922423899,6084.763736175386,-2.3894905498700325e-10
19,nmos4_pattern6,3.0,0.001741077983751893,2871.78405945113,6.497765658863841e-10
19,nmos4_pattern6,4.0,0.002760018454864621,1811.5820896731104,6.622154380409029e-09
19,nmos4_pattern6,5.0,0.003598051145672798,1389.6411689459328,3.2877440769851773e-09
19,nmos4_pattern6,6.0,0.004420650191605091,1131.0553387587886,5.947359937863439e-09
19,nmos4_pattern7,0.0,1.0693759577407036e-05,467562.4100025234,-1.8358694120479413e-08
19,nmos4_pattern7,1.0,0.0002560484572313726,19527.553706296538,-4.0009370816385115e-10
19,nmos4_pattern7,2.0,0.0009457611013203859,5286.747354082816,-4.4209476357526256e-11
19,nmos4_pattern7,3.0,0.0018590851686894894,2689.494857045528,1.0465406319326576e-09
19,nmos4_pattern7,4.0,0.00283850752748549,1761.4890753625311,3.3435596513697874e-09
19,nmos4_pattern7,5.0,0.003828535322099924,1305.9824657063725,4.682053855731283e-09
19,nmos4_pattern7,6.0,0.0046120258048176765,1084.1222949743797,5.503964839448372e-09
19,nmos4_pattern8,0.0,8.207810424210038e-06,609175.8631817115,-1.5998397051575353e-09
19,nmos4_pattern8,1.0,0.00022923915821593255,21811.282325902775,-6.81608491870378e-10
19,nmos4_pattern8,2.0,0.000876658596098423,5703.474559255502,-3.787741231775499e-10
19,nmos4_pattern8,3.0,0.001777485478669405,2812.962502367622,8.801956941084654e-10
19,nmos4_pattern8,4.0,0.002758926711976528,1812.298956074096,3.654973212974255e-09
19,nmos4_pattern8,5.0,0.0037905487697571516,1319.07022009384,4.22155643775568e-09
19,nmos4_pattern8,6.0,0.004533070605248213,1103.005100827504,6.3373306602443336e-09
19,nmos5_pattern1,0.0,1.3323401617526542e-05,375279.53772876196,3.857033789578246e-11
19,nmos5_pattern1,1.0,0.00018514631665311754,27005.668221678927,-1.7165316390510554e-10
19,nmos5_pattern1,2.0,0.0006605333182960749,7569.640866713736,7.676926455646438e-11
19,nmos5_pattern1,3.0,0.0013440740294754505,3720.033190397512,6.265137297845058e-10
19,nmos5_pattern1,4.0,0.0022471370175480843,2225.0534617847397,6.980955813418177e-10
19,nmos5_pattern1,5.0,0.003195831086486578,1564.5382577140156,1.7469375945822208e-09
19,nmos5_pattern1,6.0,0.004061923362314701,1230.9439529038118,4.185018998015266e-09
19,nmos5_pattern2,0.0,1.5197049378912197e-06,3290112.3601915278,-7.962452364118633e-10
19,nmos5_pattern2,1.0,0.00017537863459438086,28509.74414052258,-1.6109656664209382e-10
19,nmos5_pattern2,2.0,0.0006833439692854881,7316.959283665084,1.1261441779097936e-09
19,nmos5_pattern2,3.0,0.0014853872125968337,3366.125652353457,2.796187281717266e-09
19,nmos5_pattern2,4.0,0.0024162884801626205,2069.2893423319597,7.475034813353432e-09
19,nmos5_pattern2,5.0,0.0032999326940625906,1515.182418416066,4.988993662635721e-09
19,nmos5_pattern2,6.0,0.00408409908413887,1224.2602094102344,6.4200635918609805e-09
19,nmos5_pattern3,0.0,1.8088487195200287e-05,276418.91475185007,-5.833703520252698e-10
19,nmos5_pattern3,1.0,0.0001807801891118288,27657.897829208767,-1.8170344395773697e-10
19,nmos5_pattern3,2.0,0.0005958725814707577,8391.055664381787,-1.5912833550846273e-10
19,nmos5_pattern3,3.0,0.0011131147621199489,4491.899820354015,-1.7518615030853724e-11
19,nmos5_pattern3,4.0,0.0017600002465769649,2840.9086928962256,2.6204741154778333e-10
19,nmos5_pattern3,5.0,0.002490839920938015,2007.355012247062,8.135135343145805e-10
19,nmos5_pattern3,6.0,0.0030654924921691418,1631.0592874628119,2.054604042456276e-09
19,nmos5_pattern4,0.0,3.8331359064613935e-06,1304415.006932486,-6.088080040100863e-10
19,nmos5_pattern4,1.0,0.00017445642151869833,28660.452601706595,1.0120722315765107e-10
19,nmos5_pattern4,2.0,0.0006564001669175923,7617.30458339101,5.154422222375388e-09
19,nmos5_pattern4,3.0,0.0014244631165638566,3510.0943940627876,2.3711967500616993e-08
19,nmos5_pattern4,4.0,0.002244741190224886,2227.4282762633684,3.4519210601047234e-08
19,nmos5_pattern4,5.0,0.003040825482457876,1644.2903510393296,4.1934345063054934e-05
19,nmos5_pattern4,6.0,0.0035632268991321325,1403.2224558076307,0.00021814467618241906
19,nmos5_pattern5,0.0,2.2844403702038107e-06,2188719.8568259915,-7.406165680734489e-10
19,nmos5_pattern5,1.0,0.0001610495091881603,31046.35354186835,1.153962037037104e-09
19,nmos5_pattern5,2.0,0.0006484666373580694,7710.496904467742,7.054778983217602e-10
19,nmos5_pattern5,3.0,0.0014794948510825634,3379.531869503596,5.777452294353225e-09
19,nmos5_pattern5,4.0,0.0023311511613428593,2144.8630543202316,5.921841683687035e-09
19,nmos5_pattern5,5.0,0.0030821238178759813,1622.2579933358115,0.0001243418810190633
19,nmos5_pattern5,6.0,0.0037140788044780493,1346.2288398327792,6.375441952144456e-09
19,nmos5_pattern6,0.0,7.366948466369649e-06,678707.0688528848,-2.1528610005816518e-09
19,nmos5_pattern6,1.0,0.0001724118337733671,29000.329563064846,-2.2710641700562917e-10
19,nmos5_pattern6,2.0,0.0006992574781179428,7150.441942297908,-2.7494484466927815e-10
19,nmos5_pattern6,3.0,0.001519499928690493,3290.556258406018,2.10304232362013e-10
19,nmos5_pattern6,4.0,0.0023911704774945974,2091.0261510249416,2.0615571472148986e-09
19,nmos5_pattern6,5.0,0.00322347623296082,1551.1204794605887,4.138587250679393e-09
19,nmos5_pattern6,6.0,0.004033043049275875,1239.7586484720862,5.280562653808829e-09
19,nmos5_pattern7,0.0,1.1829656614281703e-05,422666.53741779807,-8.529219552855238e-10
19,nmos5_pattern7,1.0,0.00019947736291214824,25065.500801722792,-9.32618426929821e-11
19,nmos5_pattern7,2.0,0.0007136075873859227,7006.651958839073,5.134337470735773e-07
19,nmos5_pattern7,3.0,0.0015398355899378657,3247.099906426865,8.324345799337607e-06
19,nmos5_pattern7,4.0,0.0023927355650812387,2089.658411471908,4.0887825889512897e-05
19,nmos5_pattern7,5.0,0.003282088553532958,1523.420199804731,9.999948815675452e-05
19,nmos5_pattern7,6.0,0.004011467564851046,1246.426630445823,5.163470984115293e-09
19,nmos5_pattern8,0.0,1.008728941087611e-05,495673.2969918562,-8.356890734972922e-10
19,nmos5_pattern8,1.0,0.0001784945634426549,28012.057642340205,-3.292424111123182e-10
19,nmos5_pattern8,2.0,0.0007231476483866572,6914.217326371734,3.6224870325618497e-11
19,nmos5_pattern8,3.0,0.001491559436544776,3352.1962836309017,1.2086411871337077e-09
19,nmos5_pattern8,4.0,0.0023253143299371004,2150.2469303301673,3.5966620792748927e-09
19,nmos5_pattern8,5.0,0.0032092020846903324,1558.0196784280938,4.377346929373971e-09
19,nmos5_pattern8,6.0,0.003950545564293861,1265.6479766216094,5.938746827638397e-09
19,nmos6_pattern1,0.0,1.6926517218962545e-06,2953944.946452758,-3.970978268430514e-10
19,nmos6_pattern1,1.0,0.00013097035116516054,38176.57932133614,-2.5415514137705486e-10
19,nmos6_pattern1,2.0,0.0005096258246339858,9811.119763389168,-1.3100785734021514e-10
19,nmos6_pattern1,3.0,0.0010264585725963116,4871.117192146452,-9.768786474184665e-11
19,nmos6_pattern1,4.0,0.001744620967656374,2865.9520278016143,1.383600456428269e-10
19,nmos6_pattern1,5.0,0.0025623030960559845,1951.3694565237936,6.451847389676857e-10
19,nmos6_pattern1,6.0,0.0033372717443853617,1498.2298065514199,1.7658956519284175e-09
19,nmos6_pattern2,0.0,8.865396011970006e-06,563990.5981920074,-4.1213757406843854e-10
19,nmos6_pattern2,1.0,0.00014418423234019428,34677.85567705345,-7.001456081567881e-10
19,nmos6_pattern2,2.0,0.0006138824974186718,8144.881180070472,-6.249743778052874e-11
19,nmos6_pattern2,3.0,0.0012952807592228055,3860.1669671987565,1.2501142343523952e-09
19,nmos6_pattern2,4.0,0.002027531387284398,2466.0530689474645,4.024959476822687e-09
19,nmos6_pattern2,5.0,0.0028103403747081757,1779.1439232762677,4.998335523254127e-09
19,nmos6_pattern2,6.0,0.0035157152451574802,1422.1857150936676,6.458554135946315e-09
19,nmos6_pattern3,0.0,2.9883423849241808e-05,167316.83843271722,-9.289816138569051e-10
19,nmos6_pattern3,1.0,0.0001449744449928403,34488.836982593246,-3.5067346249029185e-10
19,nmos6_pattern3,2.0,0.0005414545885287225,9234.384758999535,-2.4383456365129064e-10
19,nmos6_pattern3,3.0,0.0011953446082770824,4182.894175769766,1.0179611320548787e-10
19,nmos6_pattern3,4.0,0.001895567518658936,2637.73247366961,1.6836740890369128e-09
19,nmos6_pattern3,5.0,0.002544066868722439,1965.3571458641982,3.654650804207904e-09
19,nmos6_pattern3,6.0,0.003155070124194026,1584.750830626076,4.881634652065259e-09
19,nmos6_pattern4,0.0,2.43220688389556e-06,2055746.1756673087,-3.7434816357873046e-10
19,nmos6_pattern4,1.0,0.00013434937864076346,37216.398397863006,6.031590373822837e-07
19,nmos6_pattern4,2.0,0.0005064125289209187,9873.373414860356,7.367947546299547e-06
