chip,nmos,pattern,fet_size,filename,Vth_Vd1V,Vth_Vd5V,Vth_Vd10V,Vth_Vd200mV,Vd_ref_V,Ion_A,Ioff_A,Ron_ohm,Roff_ohm,Ion_Ioff_ratio
19,1,2,nmos1_pattern2,nmos1 pattern2 chip19.xls,0.006471358582668341,1.0739078268220332,-0.04925445596520449,-0.024749292768040214,5.0,0.018566172569990158,6.514204869745299e-05,269.30698727221034,76755.33852522966,285.0105721454855
19,1,3,nmos1_pattern3,nmos1 pattern3 chip19.xls,1.624941752110315,2.455577858578839,-7.173750289397857,-0.0889694740959199,5.0,0.012768058106303215,0.0028777013067156076,391.60222786984707,1737.497907907136,4.436894849547717
19,1,4,nmos1_pattern4,nmos1 pattern4 chip19.xls,1.2397191931964766,1.1805732660283006,0.13516485889319352,0.8079553634873125,5.0,0.006307442206889391,1.658594010223169e-05,792.7143580544711,301460.1505360094,380.288495437211
19,1,5,nmos1_pattern5,nmos1 pattern5 chip19.xls,1.540228073118295,1.4788214163384796,2.177214491079017,1.018741055134764,5.0,0.014315780252218246,3.295011993031949e-05,349.26493086014256,151744.51597061363,434.4682290229054
19,1,7,nmos1_pattern7,nmos1 pattern7 chip19.xls,0.9373396700128549,0.8075740283914827,0.9259936904444204,0.5578135100598227,5.0,0.013686159625649452,3.293721965746954e-05,365.33257953746346,151803.9486027502,415.5226144762249
19,2,1,nmos2_pattern1,nmos2 pattern1 chip19.xls,0.6988157048201415,0.4254229542265586,0.7782670753989791,0.25757512152140705,5.0,0.007399334572255611,1.5690466170781292e-05,675.7364396993067,318664.84689352155,471.58156371635505
19,2,3,nmos2_pattern3,nmos2 pattern3 chip19.xls,0.9285176509558428,1.0912466947409656,1.0073690310304213,0.5132617694218367,5.0,0.008710741996765137,7.249789632624015e-06,574.0039140014507,689675.1841598308,1201.5165181575537
19,2,4,nmos2_pattern4,nmos2 pattern4 chip19.xls,0.7469852703006878,0.8714122370549338,0.8193553247965522,0.2506660483967931,5.0,0.00555435661226511,1.045349745254498e-05,900.1942707385799,478308.81699624023,531.3395480775539
19,2,5,nmos2_pattern5,nmos2 pattern5 chip19.xls,0.953742426690686,1.1532550128080556,1.0938400054795894,0.5457974594578388,5.0,0.009283861145377159,2.345352368138265e-05,538.5690201204397,213187.5818715031,395.8407816027519
19,2,6,nmos2_pattern6,nmos2 pattern6 chip19.xls,0.9962369783840603,1.0051665198394355,0.9860340032209582,0.415674791360521,5.0,0.007825963199138641,1.2222950317664072e-05,638.8989920819358,409066.54040589684,640.2679382431018
19,2,7,nmos2_pattern7,nmos2 pattern7 chip19.xls,0.7851718251042257,0.9294602556292055,0.9281237894722012,0.2918995009575809,5.0,0.007668538950383663,1.399455049977405e-05,652.0146839379157,357281.929139541,547.9660779749572
19,3,1,nmos3_pattern1,nmos3 pattern1 chip19.xls,4.410711040749385,0.6677535880868095,1.0269508498393762,-0.0054352638476065085,5.0,0.005114667117595673,2.3057723410602193e-06,977.5807271598985,2168470.803019931,2218.201262334465
19,3,2,nmos3_pattern2,nmos3 pattern2 chip19.xls,1.2233292378116563,1.7998837282190507,1.455725509039647,0.7435166807683684,5.0,0.006486924830824137,1.11288591142511e-05,770.7812454125155,449282.35218623915,582.892169289598
19,3,3,nmos3_pattern3,nmos3 pattern3 chip19.xls,0.9421777827103281,1.0579951182480807,1.0813670355165714,0.45957037109034315,5.0,0.006374289281666279,1.3703699551115278e-05,784.4011746346362,364864.97542870266,465.1509804261219
19,3,4,nmos3_pattern4,nmos3 pattern4 chip19.xls,0.18708217171995944,1.0812814097396803,1.371269320670283,-0.017160927656749377,5.0,0.004461810924112797,1.1325604646117426e-05,1120.6212197336038,441477.53309701383,393.95785598452505
19,3,5,nmos3_pattern5,nmos3 pattern5 chip19.xls,1.0446730684913086,1.1649379407041434,1.0111712913440147,0.6300193610094142,5.0,0.00687711825594306,8.475633876514621e-06,727.0487163252,589926.3787048004,811.3986937306324
19,3,6,nmos3_pattern6,nmos3 pattern6 chip19.xls,0.8101708382995629,0.9676974832078722,1.0357749121338264,0.3524166569410929,5.0,0.005715713370591402,9.009985660668463e-06,874.7814447320077,554939.839896376,634.3754125539136
19,3,7,nmos3_pattern7,nmos3 pattern7 chip19.xls,0.8312116869456214,1.3345099177065092,0.9884509021107766,0.29000289322492523,5.0,0.006761279422789812,1.3951749679108616e-05,739.5050089405889,358377.98949955445,484.6187451968242
19,4,1,nmos4_pattern1,nmos4 pattern1 chip19.xls,0.3701426511260246,1.1140390200746326,1.2251003647955425,0.11621591580494128,5.0,0.004542653448879719,5.926348876528209e-06,1100.6782833572895,843689.7834015324,766.5180608707109
19,4,2,nmos4_pattern2,nmos4 pattern2 chip19.xls,0.8441476417882834,1.5830588101630467,1.2603717262660181,0.23121573937952888,5.0,0.0038146476726979017,3.168892362737097e-06,1310.7370402215313,1577838.3825196587,1203.7795027544075
19,4,3,nmos4_pattern3,nmos4 pattern3 chip19.xls,0.5728602173390471,1.2690340569391148,1.3140150957600203,0.2465789312407054,5.0,0.003549934597685933,1.121814057114534e-05,1408.4766528541988,445706.6630864578,316.44590074195287
19,4,5,nmos4_pattern5,nmos4 pattern5 chip19.xls,0.798123166057306,1.1735417583302865,1.2326795139766542,0.3605612507553242,5.0,0.004167991224676371,2.544418293837225e-06,1199.6186485225223,1965085.6984130247,1638.0919893445048
